Place,Date,Vehicles Involved,Fatalities,Injuries,Cause
in Ghatail,", 65",truck,4,2,Unknown
on Monday,", 25",,3,1,Unknown
in Uttara,15,"car, car",2,0,Unknown
in Kamalbag, 12,,0,0,Unknown
in Kamalbag, 12,,1,1,Unknown
on Saturday, 18,truck,1,2,Unknown
in Kushtia,", 35",,1,2,Unknown
in Dhaka Thursday, 11,,1,0,Unknown
in Khagrachhari,Unknown,,4,0,Unknown
in Sabujbagh,",50",,2,0,Unknown
in Bosnia, 12,"bus, bus, bus, bus, bus, bus, bus",2,2,Unknown
in Baraigram,", 35","bus, bus, bus",2,0,Unknown
in Chattogram,Unknown,,2,1,Unknown
on Friday, 21,,4,1,Unknown
in Cox, 17,"bus, truck, truck",1,2,Unknown
in Mirsharai,", 18","truck, truck, truck",3,0,Unknown
on Dhaka,Unknown,"truck, truck",4,3,Unknown
at Bagatiprara,",20",,2,1,Unknown
in Cumilla, 40,"bus, bus, bus",5,0,Unknown
in Dhaka,", 18",bus,3,4,Unknown
in Chattogram Sitakunda, 40,,2,0,Unknown
in Asad,", 40","bus, bus",4,1,Unknown
